doi;title;author;date;sdg;ugc_source;paperurl;source;query
10.1109/MIS.2011.52;Harnessing the Crowdsourcing Power of Social Media for Disaster Relief;"Gao, Huiji
Barbier, Geoffrey
Goolsby, Rebecca";01.06.2011;11.5;"Ushahisi;twitter";;webofknowledge;Disaster
10.1631/jzus.C0910371;Notifiable infectious disease surveillance with data collected by search engine;"Zhou, Xi-chuan
Shen, Hai-bin";01.04.2010;3.3;google trends;;webofknowledge;Disease
10.3390/su11195459;Participative placemaking in Serbia: The use of the limitless GIS application in increasing the sustainability of universal urban design;Stupar A.;01.10.2019;11.3;Limitless - GIS Application;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85073449402&origin=inward;scopus;KEY((urban* AND (inclus* OR sustain*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/ijerph16234767;Public perception of haze weather based on Weibo comments;Zhang Q.;01.12.2019;3.9;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075726252&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1007/s10584-016-1883-y;Who speaks for climate change in China? Evidence from Weibo;Liu J.;01.02.2017;11.a;sina weibo;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85007256840&origin=inward;scopus;KEY(((urban OR integrat*) AND polic*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/SU12010095;The 'GartenApp': Assessing and communicating the ecological potential of private gardens;Schneider A.K.;01.01.2020;3.9;GartenApp - Citizen Science;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85079647530&origin=inward;scopus;KEY((urban* AND green*) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.1201/b17143;CITIZEN SCIENTISTS AND MARINE RESEARCH: VOLUNTEER PARTICIPANTS, THEIR CONTRIBUTIONS, AND PROJECTION FOR THE FUTURE;MARTIN THIEL, MIGUEL ANGEL PENNA-DÍAZ, GUILLERMO LUNA-JORQUERA, SONIA SALAS, JAVIER SELLANES, WOLFGANG STOTZ;01.01.2014;<SDG 3>;;;webofknowledge;
10.1109/TBDATA.2016.2628398;Modeling Urban Behavior by Mining Geotagged Social Data;"Celikten, Emre
Le Falher, Geraud
Mathioudakis, Michael";01.06.2017;11.2;Foursquare;;webofknowledge;Urban behaviour
10.1016/j.compenvurbsys.2015.09.001;Extracting and understanding urban areas of interest using geotagged photos;"Hu, Yingjie
Gao, Song
Janowicz, Krzysztof
Yu, Bailang
Li, Wenwen
Prasad, Sathya";01.11.2015;11.2;flickr;;webofknowledge;Urban behaviour
10.1140/epjds/s13688-015-0043-3;Urban magnetism through the lens of geo-tagged photography;"Paldino, Silvia
Bojic, Iva
Sobolevsky, Stanislav
Ratti, Carlo
Gonzalez, Marta C.";01.12.2015;<SDG11>;Flickr;;;
10.1007/s10661-017-5817-6;Combining physiological, environmental and locational sensors for citizen-oriented health applications;Huck J.;01.03.2017;3.9;Air Quality Egg App - Citizen Science Project;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85013119790&origin=inward;scopus;KEY(((chemical* OR air OR water OR soil) AND (pollution OR contamination)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
10.3390/rs1030345;Geo-Wiki.Org: The Use of Crowdsourcing to Improve Global Land Cover;"Fritz, Steffen
McCallum, Ian
Schill, Christian
Perger, Christoph
Grillmayer, Roland
Achard, Frederic
Kraxner, Florian
Obersteiner, Michael";01.09.2009;11.3;geo wiki;;webofknowledge;Land use
10.1016/j.compcom.2016.11.003;#MyNYPD: Transforming Twitter into a Public Place for Protest;Hayes T.;01.03.2017;11.7;twitter;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010408008&origin=inward;scopus;KEY(((green OR public OR open) AND (place* OR space*)) AND ((citizen science collective sens*) OR (citizen science) OR (citizen sensing) OR (community-based monitoring) OR (community-based participatory research) OR (participatory sensing) OR (participatory action research) OR (participatory gis) OR (PPGIS) OR (volunteer monitoring) OR (Web 2.0) OR (Neogeograph*) OR (volunteered geograph*) OR (vgi) OR (crowdsourc*) OR (crowd-sourc*) OR (crowd sourc*) OR (user-generated content*) OR (user generated content*) OR (ugc) OR (social media) OR (gisience)))
